shipment_id,date,origin_hub,destination_hub,carrier,delivery_days_actual,delivery_days_promised,distance_km,weight_kg,cost_usd,on_time_delivery,delay_reason,product_category,season,priority
SHP-00780,2024-02-18,New_York,Philadelphia,MegaFreight,4,3,1351,13.13,53.08,0,weather,industrial,winter,standard
SHP-00781,2024-02-29,Los_Angeles,Chicago,FastShip,2,3,2002,32.02,109.92,1,,industrial,winter,standard
SHP-00782,2024-03-07,New_York,Houston,MegaFreight,3,4,732,45.82,53.78,1,,perishables,spring,standard
SHP-00783,2024-04-17,Los_Angeles,San_Antonio,FastShip,3,3,1916,2.62,26.16,1,,perishables,spring,standard
SHP-00784,2024-03-13,Houston,Chicago,FastShip,5,6,1392,9.28,26.03,1,,clothing,spring,standard
SHP-00785,2024-01-18,New_York,Philadelphia,MegaFreight,1,1,732,77.46,132.39,1,,furniture,winter,overnight
SHP-00786,2024-04-17,Houston,Chicago,FastShip,7,7,1088,1.98,22.0,1,,electronics,spring,standard
SHP-00787,2024-04-03,Los_Angeles,Chicago,QuickPost,3,3,313,3.73,15.91,1,,clothing,spring,standard
SHP-00788,2024-01-24,Chicago,Houston,QuickPost,6,3,591,14.97,26.96,0,mechanical,perishables,winter,standard
SHP-00789,2024-05-23,Houston,New_York,LocalEx,6,7,2154,32.84,76.01,1,,industrial,spring,standard
SHP-00790,2024-03-23,Houston,Chicago,LocalEx,7,2,676,4.12,32.15,0,capacity,electronics,spring,express
SHP-00791,2024-02-21,New_York,Chicago,FastShip,5,1,3142,7.45,93.26,0,mechanical,electronics,winter,overnight
SHP-00792,2024-06-13,Dallas,Houston,QuickPost,5,6,506,3.56,13.66,1,,electronics,summer,standard
SHP-00793,2024-04-10,Los_Angeles,Philadelphia,MegaFreight,1,1,470,12.32,56.93,1,,industrial,spring,overnight
SHP-00794,2024-01-19,Houston,San_Antonio,FastShip,3,3,872,10.38,36.26,1,,clothing,winter,express
SHP-00795,2024-06-09,New_York,Los_Angeles,QuickPost,3,3,1856,7.43,40.43,1,,perishables,summer,standard
SHP-00796,2024-01-26,Chicago,New_York,LocalEx,2,2,302,29.23,47.09,1,,perishables,winter,express
SHP-00797,2024-03-29,Houston,Chicago,QuickPost,2,3,551,19.01,27.5,1,,perishables,spring,standard
SHP-00798,2024-02-04,San_Antonio,New_York,FastShip,1,2,1829,29.6,108.0,1,,industrial,winter,express
SHP-00799,2024-06-01,New_York,Phoenix,FastShip,2,3,918,4.62,32.82,1,,clothing,summer,standard
SHP-00800,2024-01-18,Chicago,Dallas,LocalEx,3,4,955,18.43,50.26,1,,furniture,winter,standard
SHP-00801,2024-01-28,Los_Angeles,New_York,QuickPost,5,3,795,24.29,55.53,0,weather,furniture,winter,express
SHP-00802,2024-05-29,Los_Angeles,Dallas,FastShip,5,5,2259,5.55,36.68,1,,electronics,spring,standard
SHP-00803,2024-03-18,New_York,Chicago,FastShip,5,6,370,2.62,20.02,1,,electronics,spring,standard
SHP-00804,2024-04-11,Dallas,New_York,LocalEx,8,2,674,3.96,9.69,0,mechanical,clothing,spring,express
SHP-00805,2024-01-09,Phoenix,Philadelphia,FastShip,1,1,761,7.18,39.2,1,,electronics,winter,overnight
SHP-00806,2024-03-03,San_Antonio,Los_Angeles,MegaFreight,2,3,1387,17.36,64.39,1,,perishables,spring,standard
SHP-00807,2024-03-22,Phoenix,New_York,FastShip,4,4,873,21.24,26.14,1,,industrial,spring,standard
SHP-00808,2024-05-04,Philadelphia,Houston,LocalEx,10,7,1779,5.2,50.64,0,weather,clothing,spring,standard
SHP-00809,2024-06-28,New_York,Chicago,LocalEx,4,4,1990,147.24,158.65,1,,industrial,summer,standard
SHP-00810,2024-05-07,Los_Angeles,Chicago,MegaFreight,1,1,1878,15.3,147.35,1,,perishables,spring,overnight
SHP-00811,2024-01-12,Chicago,Los_Angeles,QuickPost,4,5,2160,67.07,111.92,1,,industrial,winter,standard
SHP-00812,2024-06-23,New_York,Houston,QuickPost,6,6,1091,8.68,36.26,1,,perishables,summer,standard
SHP-00813,2024-05-16,Phoenix,Houston,FastShip,2,3,1114,34.06,52.26,1,,furniture,spring,standard
SHP-00814,2024-04-29,Phoenix,Houston,MegaFreight,2,1,1209,25.01,152.05,0,weather,industrial,spring,overnight
SHP-00815,2024-03-31,San_Antonio,Houston,FastShip,5,3,1264,19.75,60.07,0,weather,industrial,spring,express
SHP-00816,2024-02-03,Houston,Chicago,QuickPost,4,5,1592,2.94,35.64,1,,clothing,winter,standard
SHP-00817,2024-06-26,New_York,Phoenix,FastShip,6,7,358,8.39,33.09,1,,clothing,summer,standard
SHP-00818,2024-04-02,Dallas,Los_Angeles,MegaFreight,1,2,664,16.95,39.77,1,,industrial,spring,express
SHP-00819,2024-04-18,Philadelphia,San_Antonio,FastShip,7,7,898,4.89,18.7,1,,electronics,spring,standard
SHP-00820,2024-05-25,Chicago,Los_Angeles,MegaFreight,5,6,2233,6.05,30.6,1,,clothing,spring,standard
SHP-00821,2024-01-03,Phoenix,Chicago,FastShip,4,5,1751,20.12,37.15,1,,electronics,winter,standard
SHP-00822,2024-03-25,Houston,Los_Angeles,LocalEx,2,2,1673,7.33,57.52,1,,clothing,spring,express
SHP-00823,2024-02-10,Phoenix,Los_Angeles,QuickPost,3,3,1225,3.63,43.96,1,,clothing,winter,express
SHP-00824,2024-05-11,New_York,Philadelphia,LocalEx,3,3,936,25.94,66.92,1,,industrial,spring,standard
SHP-00825,2024-05-16,New_York,Los_Angeles,FastShip,6,3,837,29.92,62.35,0,weather,industrial,spring,express
SHP-00826,2024-02-16,Phoenix,Los_Angeles,LocalEx,4,2,699,3.66,19.16,0,mechanical,clothing,winter,express
SHP-00827,2024-06-28,Philadelphia,San_Antonio,LocalEx,2,3,1069,8.88,31.59,1,,clothing,summer,standard
SHP-00828,2024-03-18,New_York,Los_Angeles,QuickPost,3,3,2594,12.78,124.38,1,,industrial,spring,express
SHP-00829,2024-03-20,Los_Angeles,Philadelphia,FastShip,1,1,485,3.45,46.04,1,,clothing,spring,overnight
SHP-00830,2024-05-21,Chicago,Dallas,QuickPost,1,1,1394,7.89,95.95,1,,clothing,spring,overnight
SHP-00831,2024-03-09,New_York,Phoenix,MegaFreight,3,3,1359,20.95,98.42,1,,industrial,spring,express
SHP-00832,2024-01-16,Philadelphia,Phoenix,LocalEx,2,3,1257,3.64,22.44,1,,electronics,winter,standard
SHP-00833,2024-06-13,San_Antonio,Dallas,MegaFreight,1,2,4090,22.25,181.92,1,,industrial,summer,express
SHP-00834,2024-03-15,New_York,Los_Angeles,QuickPost,6,6,474,10.73,39.09,1,,industrial,spring,standard
SHP-00835,2024-04-30,New_York,Los_Angeles,FastShip,2,1,513,1.49,18.15,0,weather,electronics,spring,overnight
SHP-00836,2024-04-21,Chicago,Houston,MegaFreight,2,3,919,28.94,89.6,1,,industrial,spring,express
SHP-00837,2024-02-07,New_York,Chicago,MegaFreight,5,6,1462,30.49,57.27,1,,industrial,winter,standard
SHP-00838,2024-01-16,San_Antonio,New_York,MegaFreight,1,1,2376,4.04,112.37,1,,clothing,winter,overnight
SHP-00839,2024-02-02,Philadelphia,New_York,FastShip,2,3,1290,19.54,24.03,1,,perishables,winter,standard
SHP-00840,2024-03-25,Chicago,Los_Angeles,QuickPost,6,4,660,6.31,15.39,0,mechanical,industrial,spring,standard
SHP-00841,2024-01-11,Houston,San_Antonio,QuickPost,6,7,1670,5.33,27.39,1,,clothing,winter,standard
SHP-00842,2024-06-12,Philadelphia,Dallas,QuickPost,5,6,808,24.92,31.01,1,,industrial,summer,standard
SHP-00843,2024-05-09,New_York,Chicago,FastShip,5,6,689,30.51,34.47,1,,industrial,spring,standard
SHP-00844,2024-06-22,New_York,Los_Angeles,MegaFreight,4,4,857,18.4,30.25,1,,industrial,summer,standard
SHP-00845,2024-06-26,Chicago,San_Antonio,LocalEx,6,7,1087,75.91,57.54,1,,perishables,summer,standard
SHP-00846,2024-06-17,Phoenix,Houston,FastShip,7,7,809,36.11,40.26,1,,industrial,summer,standard
SHP-00847,2024-02-04,Los_Angeles,San_Antonio,MegaFreight,1,1,1434,4.41,30.5,1,,clothing,winter,overnight
SHP-00848,2024-05-15,Phoenix,New_York,QuickPost,4,2,1822,2.64,24.61,0,weather,clothing,spring,express
SHP-00849,2024-02-19,Dallas,San_Antonio,FastShip,10,6,1256,17.93,65.27,0,customs,perishables,winter,standard
SHP-00850,2024-02-02,New_York,Chicago,QuickPost,2,3,1424,4.18,34.73,1,,clothing,winter,standard
SHP-00851,2024-02-12,Chicago,Houston,MegaFreight,4,5,806,26.36,104.29,1,,clothing,winter,standard
SHP-00852,2024-01-24,Philadelphia,Phoenix,FastShip,1,1,1976,6.13,111.25,1,,electronics,winter,overnight
SHP-00853,2024-04-01,Chicago,Philadelphia,MegaFreight,2,3,1534,13.55,55.71,1,,electronics,spring,standard
SHP-00854,2024-03-27,Chicago,Los_Angeles,QuickPost,9,5,1978,9.34,32.57,0,customs,perishables,spring,standard
SHP-00855,2024-02-08,Chicago,New_York,MegaFreight,7,4,538,24.53,24.77,0,other,industrial,winter,standard
SHP-00856,2024-03-27,Philadelphia,Chicago,QuickPost,6,7,599,1.3,16.18,1,,clothing,spring,standard
SHP-00857,2024-02-14,New_York,Philadelphia,FastShip,8,5,1371,5.79,20.54,0,weather,clothing,winter,standard
SHP-00858,2024-02-20,San_Antonio,Phoenix,FastShip,3,3,3147,28.59,162.75,1,,industrial,winter,express
SHP-00859,2024-01-16,Los_Angeles,Philadelphia,QuickPost,11,7,2592,80.48,135.24,0,weather,industrial,winter,standard
SHP-00860,2024-03-07,Houston,Dallas,MegaFreight,3,4,1535,31.73,52.3,1,,industrial,spring,standard
SHP-00861,2024-01-25,New_York,Los_Angeles,QuickPost,2,3,1517,43.99,61.36,1,,industrial,winter,express
SHP-00862,2024-02-04,Los_Angeles,San_Antonio,MegaFreight,7,7,998,30.88,45.15,1,,furniture,winter,standard
SHP-00863,2024-01-26,Houston,New_York,LocalEx,1,1,616,22.71,71.95,1,,industrial,winter,overnight
SHP-00864,2024-04-21,Los_Angeles,Los_Angeles,LocalEx,1,1,473,11.67,54.18,1,,electronics,spring,overnight
SHP-00865,2024-05-24,Chicago,Phoenix,QuickPost,1,2,1103,77.15,163.1,1,,industrial,spring,express
SHP-00866,2024-06-12,Los_Angeles,Philadelphia,FastShip,4,4,1482,20.98,74.71,1,,industrial,summer,standard
SHP-00867,2024-04-12,New_York,Philadelphia,LocalEx,3,4,613,3.39,10.98,1,,clothing,spring,standard
SHP-00868,2024-04-07,Los_Angeles,Philadelphia,FastShip,4,5,792,4.14,35.37,1,,clothing,spring,standard
SHP-00869,2024-01-16,Houston,New_York,FastShip,4,4,1070,71.51,45.1,1,,industrial,winter,standard
SHP-00870,2024-03-24,Philadelphia,San_Antonio,FastShip,7,7,1577,2.84,17.77,1,,clothing,spring,standard
SHP-00871,2024-05-08,New_York,Los_Angeles,MegaFreight,3,3,847,19.98,130.22,1,,perishables,spring,express
SHP-00872,2024-06-02,New_York,Philadelphia,FastShip,2,3,554,2.63,7.15,1,,clothing,summer,express
SHP-00873,2024-05-03,San_Antonio,Chicago,LocalEx,3,3,1573,19.17,52.94,1,,industrial,spring,standard
SHP-00874,2024-04-02,Phoenix,New_York,FastShip,6,6,2304,55.95,99.03,1,,furniture,spring,standard
SHP-00875,2024-05-27,Chicago,Philadelphia,FastShip,5,5,1951,18.98,39.77,1,,industrial,spring,standard
SHP-00876,2024-04-17,Houston,Chicago,FastShip,5,5,594,7.68,23.86,1,,electronics,spring,standard
SHP-00877,2024-06-20,Phoenix,Los_Angeles,FastShip,2,3,1322,6.97,53.49,1,,clothing,summer,express
SHP-00878,2024-06-08,New_York,Philadelphia,FastShip,7,7,2255,8.05,49.47,1,,clothing,summer,standard
SHP-00879,2024-01-31,Chicago,San_Antonio,FastShip,3,2,890,4.25,19.97,0,capacity,clothing,winter,express
SHP-00880,2024-02-14,San_Antonio,Chicago,FastShip,5,6,691,61.99,77.29,1,,industrial,winter,standard
SHP-00881,2024-05-03,New_York,Chicago,MegaFreight,2,2,1474,14.06,71.1,1,,clothing,spring,express
SHP-00882,2024-01-25,Philadelphia,New_York,MegaFreight,1,1,1122,44.91,158.34,1,,industrial,winter,overnight
SHP-00883,2024-01-18,Houston,Los_Angeles,MegaFreight,4,4,793,11.07,51.34,1,,industrial,winter,standard
SHP-00884,2024-04-14,Houston,Chicago,MegaFreight,7,3,705,3.05,26.01,0,weather,clothing,spring,express
SHP-00885,2024-04-02,San_Antonio,Chicago,LocalEx,4,3,689,21.18,51.75,0,mechanical,industrial,spring,express
SHP-00886,2024-05-27,Los_Angeles,Houston,QuickPost,6,7,660,28.21,46.21,1,,perishables,spring,standard
SHP-00887,2024-04-12,Chicago,New_York,QuickPost,5,5,849,5.03,32.76,1,,electronics,spring,standard
SHP-00888,2024-01-18,Chicago,Phoenix,LocalEx,3,3,1519,5.63,28.21,1,,electronics,winter,standard
SHP-00889,2024-03-26,San_Antonio,Chicago,MegaFreight,1,2,1934,3.03,36.9,1,,clothing,spring,express
SHP-00890,2024-05-21,Phoenix,Los_Angeles,QuickPost,1,2,270,4.48,22.93,1,,electronics,spring,express
SHP-00891,2024-04-05,Philadelphia,San_Antonio,LocalEx,2,2,979,26.12,51.62,1,,industrial,spring,express
SHP-00892,2024-03-31,New_York,Dallas,LocalEx,4,1,717,3.36,35.67,0,customs,clothing,spring,overnight
SHP-00893,2024-04-09,Chicago,Philadelphia,QuickPost,5,5,716,21.76,46.14,1,,perishables,spring,standard
SHP-00894,2024-04-12,New_York,Los_Angeles,MegaFreight,3,3,738,4.61,25.29,1,,electronics,spring,express
SHP-00895,2024-06-08,Los_Angeles,Dallas,MegaFreight,6,7,1045,16.44,42.7,1,,furniture,summer,standard
SHP-00896,2024-06-24,New_York,Chicago,MegaFreight,4,4,2227,8.42,25.93,1,,clothing,summer,standard
SHP-00897,2024-05-20,Philadelphia,Dallas,FastShip,2,3,734,9.99,20.09,1,,electronics,spring,express
SHP-00898,2024-05-11,Los_Angeles,Houston,QuickPost,4,4,2122,10.1,25.07,1,,perishables,spring,standard
SHP-00899,2024-04-25,Houston,Chicago,FastShip,5,5,966,25.77,41.94,1,,industrial,spring,standard
SHP-00900,2024-06-15,San_Antonio,Chicago,QuickPost,3,3,742,3.76,24.94,1,,clothing,summer,express
SHP-00901,2024-05-16,New_York,Los_Angeles,FastShip,9,6,849,6.02,25.18,0,weather,perishables,spring,standard
SHP-00902,2024-06-20,Chicago,Dallas,MegaFreight,1,1,1367,30.41,129.82,1,,industrial,summer,overnight
SHP-00903,2024-04-15,Los_Angeles,New_York,FastShip,5,6,609,9.5,18.56,1,,clothing,spring,standard
SHP-00904,2024-02-10,Houston,San_Antonio,MegaFreight,2,1,901,8.92,114.4,0,capacity,electronics,winter,overnight
SHP-00905,2024-05-25,Philadelphia,San_Antonio,QuickPost,4,3,1518,13.72,125.42,0,weather,industrial,spring,express
SHP-00906,2024-03-03,Philadelphia,New_York,FastShip,2,3,1574,8.56,70.32,1,,electronics,spring,express
SHP-00907,2024-02-15,San_Antonio,Los_Angeles,QuickPost,2,3,405,10.11,8.87,1,,industrial,winter,standard
SHP-00908,2024-06-01,Philadelphia,New_York,MegaFreight,1,1,889,2.36,44.59,1,,clothing,summer,overnight
SHP-00909,2024-04-11,Houston,Philadelphia,FastShip,6,6,820,4.21,23.75,1,,perishables,spring,standard
SHP-00910,2024-05-12,Philadelphia,New_York,FastShip,4,5,468,7.47,17.03,1,,clothing,spring,standard
SHP-00911,2024-03-17,New_York,San_Antonio,MegaFreight,3,3,2036,8.76,89.83,1,,electronics,spring,express
SHP-00912,2024-04-21,Los_Angeles,Phoenix,QuickPost,7,7,1775,33.02,100.6,1,,industrial,spring,standard
SHP-00913,2024-04-02,Houston,Los_Angeles,FastShip,2,2,940,25.75,53.02,1,,industrial,spring,express
SHP-00914,2024-06-10,Dallas,Philadelphia,FastShip,7,4,1402,3.05,62.31,0,other,clothing,summer,standard
SHP-00915,2024-05-31,Chicago,Los_Angeles,FastShip,2,3,1162,4.25,46.1,1,,clothing,spring,standard
SHP-00916,2024-04-11,Los_Angeles,Philadelphia,MegaFreight,3,4,866,7.35,40.19,1,,electronics,spring,standard
SHP-00917,2024-04-18,Phoenix,Chicago,MegaFreight,3,3,1661,32.05,58.76,1,,perishables,spring,standard
SHP-00918,2024-04-23,Chicago,Phoenix,LocalEx,2,3,497,11.8,27.17,1,,electronics,spring,express
SHP-00919,2024-01-08,Philadelphia,Los_Angeles,FastShip,4,4,1070,26.3,44.05,1,,industrial,winter,standard
SHP-00920,2024-02-23,Los_Angeles,Phoenix,QuickPost,3,4,1204,17.12,38.66,1,,industrial,winter,standard
SHP-00921,2024-04-29,Houston,New_York,QuickPost,8,6,1517,5.14,49.19,0,other,clothing,spring,standard
SHP-00922,2024-03-27,Houston,Houston,MegaFreight,5,6,696,38.73,36.5,1,,industrial,spring,standard
SHP-00923,2024-06-04,Chicago,New_York,MegaFreight,4,5,946,2.21,29.3,1,,clothing,summer,standard
SHP-00924,2024-01-16,Chicago,San_Antonio,LocalEx,2,2,1062,6.37,57.31,1,,clothing,winter,express
SHP-00925,2024-02-02,New_York,Dallas,FastShip,9,6,1185,7.64,39.17,0,customs,clothing,winter,standard
SHP-00926,2024-04-05,New_York,San_Antonio,LocalEx,1,2,1475,14.86,56.61,1,,electronics,spring,express
SHP-00927,2024-04-12,Chicago,Los_Angeles,QuickPost,3,3,712,13.49,24.51,1,,electronics,spring,standard
SHP-00928,2024-03-11,Chicago,Philadelphia,MegaFreight,4,4,335,4.95,24.8,1,,electronics,spring,standard
SHP-00929,2024-05-08,Los_Angeles,New_York,MegaFreight,5,6,1184,20.51,28.89,1,,clothing,spring,standard
SHP-00930,2024-04-28,Chicago,Houston,FastShip,5,5,1812,16.31,42.48,1,,electronics,spring,standard
SHP-00931,2024-02-21,Philadelphia,Dallas,LocalEx,7,7,3003,10.57,47.22,1,,industrial,winter,standard
SHP-00932,2024-05-11,Los_Angeles,New_York,QuickPost,4,4,968,7.71,47.65,1,,perishables,spring,standard
SHP-00933,2024-06-08,Phoenix,Chicago,FastShip,4,4,1076,46.4,99.68,1,,furniture,summer,standard
SHP-00934,2024-02-27,Dallas,San_Antonio,FastShip,8,7,1262,6.56,32.08,0,other,clothing,winter,standard
SHP-00935,2024-04-17,Los_Angeles,New_York,QuickPost,4,5,577,15.95,20.58,1,,electronics,spring,standard
SHP-00936,2024-06-06,New_York,Phoenix,QuickPost,3,4,1085,2.62,17.28,1,,clothing,summer,standard
SHP-00937,2024-03-27,San_Antonio,Houston,QuickPost,6,7,691,6.07,21.3,1,,electronics,spring,standard
SHP-00938,2024-03-15,Houston,New_York,MegaFreight,6,6,1423,11.39,39.0,1,,electronics,spring,standard
SHP-00939,2024-06-19,Philadelphia,San_Antonio,FastShip,2,3,2170,5.73,31.85,1,,clothing,summer,standard
SHP-00940,2024-05-05,Phoenix,Chicago,MegaFreight,7,7,1026,5.29,20.62,1,,clothing,spring,standard
SHP-00941,2024-01-30,Los_Angeles,Philadelphia,FastShip,1,1,633,19.17,70.55,1,,furniture,winter,overnight
SHP-00942,2024-06-15,Philadelphia,Houston,MegaFreight,3,3,1477,14.95,96.11,1,,perishables,summer,express
SHP-00943,2024-03-02,Los_Angeles,New_York,MegaFreight,2,3,877,21.46,52.41,1,,industrial,spring,standard
SHP-00944,2024-05-30,New_York,Phoenix,FastShip,3,4,1244,10.62,10.06,1,,perishables,spring,standard
SHP-00945,2024-02-03,Dallas,Phoenix,FastShip,2,3,1267,8.92,47.66,1,,electronics,winter,express
SHP-00946,2024-05-21,San_Antonio,New_York,QuickPost,5,5,1354,20.16,61.77,1,,electronics,spring,standard
SHP-00947,2024-05-07,Dallas,Chicago,MegaFreight,3,2,1380,2.94,36.57,0,mechanical,clothing,spring,express
SHP-00948,2024-04-23,Chicago,Phoenix,QuickPost,6,5,1896,85.53,182.45,0,capacity,furniture,spring,standard
SHP-00949,2024-02-01,Los_Angeles,New_York,QuickPost,4,5,1318,2.1,29.0,1,,electronics,winter,standard
SHP-00950,2024-01-24,Chicago,Houston,FastShip,2,2,769,10.93,28.04,1,,electronics,winter,express
SHP-00951,2024-06-13,New_York,Los_Angeles,QuickPost,4,4,1927,1.63,42.5,1,,clothing,summer,standard
SHP-00952,2024-04-15,Los_Angeles,Houston,FastShip,6,2,4288,12.98,139.95,0,weather,electronics,spring,express
SHP-00953,2024-02-07,Los_Angeles,Philadelphia,FastShip,3,3,1660,4.84,93.81,1,,electronics,winter,express
SHP-00954,2024-05-08,New_York,Dallas,FastShip,2,1,1756,7.44,79.21,0,capacity,perishables,spring,overnight
SHP-00955,2024-05-17,Dallas,Dallas,LocalEx,1,2,388,45.07,57.17,1,,furniture,spring,express
SHP-00956,2024-01-12,Phoenix,San_Antonio,FastShip,3,3,1823,13.45,47.24,1,,industrial,winter,express
SHP-00957,2024-03-24,New_York,Los_Angeles,MegaFreight,1,1,914,52.12,110.68,1,,furniture,spring,overnight
SHP-00958,2024-06-11,San_Antonio,New_York,LocalEx,2,3,822,26.56,41.14,1,,industrial,summer,express
SHP-00959,2024-03-17,Philadelphia,Chicago,FastShip,1,2,1587,137.51,194.52,1,,furniture,spring,express
SHP-00960,2024-02-06,Dallas,Phoenix,MegaFreight,6,6,1401,50.63,64.04,1,,furniture,winter,standard
SHP-00961,2024-01-23,New_York,Houston,MegaFreight,5,5,641,18.42,91.31,1,,industrial,winter,standard
SHP-00962,2024-06-22,Chicago,Los_Angeles,FastShip,2,1,1226,29.29,263.56,0,mechanical,industrial,summer,overnight
SHP-00963,2024-02-03,New_York,Philadelphia,FastShip,3,3,1950,6.27,32.94,1,,electronics,winter,standard
SHP-00964,2024-05-04,Houston,Phoenix,LocalEx,2,3,748,18.29,58.17,1,,industrial,spring,standard
SHP-00965,2024-05-04,Los_Angeles,New_York,QuickPost,3,3,1109,4.99,38.48,1,,clothing,spring,express
SHP-00966,2024-06-18,Los_Angeles,Philadelphia,FastShip,5,6,974,6.56,36.23,1,,clothing,summer,standard
SHP-00967,2024-04-15,New_York,Los_Angeles,FastShip,4,5,1287,143.77,91.66,1,,industrial,spring,standard
SHP-00968,2024-05-11,Houston,Los_Angeles,LocalEx,10,5,1781,41.39,50.18,0,weather,furniture,spring,standard
SHP-00969,2024-02-23,Houston,Chicago,FastShip,5,5,620,3.06,10.22,1,,clothing,winter,standard
SHP-00970,2024-03-18,Chicago,New_York,MegaFreight,4,3,763,14.95,54.38,0,weather,industrial,spring,express
SHP-00971,2024-02-25,Philadelphia,Los_Angeles,LocalEx,2,3,915,24.25,38.59,1,,industrial,winter,express
SHP-00972,2024-04-01,Los_Angeles,Phoenix,MegaFreight,1,2,615,21.39,77.39,1,,industrial,spring,express
SHP-00973,2024-01-17,New_York,Los_Angeles,FastShip,7,7,1431,36.99,88.12,1,,furniture,winter,standard
SHP-00974,2024-04-03,New_York,Dallas,LocalEx,2,2,2432,13.77,92.98,1,,clothing,spring,express
SHP-00975,2024-02-26,Philadelphia,Los_Angeles,MegaFreight,3,3,2334,4.7,57.44,1,,clothing,winter,express
SHP-00976,2024-05-14,San_Antonio,Chicago,MegaFreight,6,6,731,27.87,19.19,1,,furniture,spring,standard
SHP-00977,2024-03-08,Los_Angeles,Houston,QuickPost,1,2,906,16.53,73.35,1,,clothing,spring,express
SHP-00978,2024-02-13,Philadelphia,San_Antonio,FastShip,3,3,1780,4.92,49.26,1,,clothing,winter,standard
SHP-00979,2024-06-18,San_Antonio,New_York,FastShip,4,5,1636,24.35,91.88,1,,industrial,summer,standard
SHP-00980,2024-02-24,Los_Angeles,Dallas,QuickPost,3,3,1035,38.65,111.81,1,,industrial,winter,standard
SHP-00981,2024-02-14,Philadelphia,New_York,FastShip,1,1,1175,8.98,75.45,1,,electronics,winter,overnight
SHP-00982,2024-03-15,Phoenix,Houston,MegaFreight,5,5,855,39.67,79.24,1,,industrial,spring,standard
SHP-00983,2024-01-30,Los_Angeles,Houston,FastShip,3,4,1819,9.31,55.89,1,,furniture,winter,standard
SHP-00984,2024-03-08,Houston,Los_Angeles,LocalEx,1,1,1322,25.88,142.33,1,,industrial,spring,overnight
SHP-00985,2024-01-04,Chicago,Philadelphia,FastShip,6,6,2355,7.23,47.18,1,,clothing,winter,standard
SHP-00986,2024-03-28,Houston,New_York,QuickPost,10,6,1856,13.55,70.53,0,mechanical,electronics,spring,standard
SHP-00987,2024-02-20,Philadelphia,Los_Angeles,FastShip,3,3,1180,8.14,104.97,1,,electronics,winter,express
SHP-00988,2024-04-22,Los_Angeles,Dallas,MegaFreight,7,7,2668,2.51,24.69,1,,clothing,spring,standard
SHP-00989,2024-05-26,Los_Angeles,Chicago,FastShip,3,4,907,43.72,24.88,1,,industrial,spring,standard
SHP-00990,2024-03-11,Philadelphia,Philadelphia,QuickPost,4,5,2660,37.61,60.67,1,,furniture,spring,standard
SHP-00991,2024-06-20,Chicago,Los_Angeles,MegaFreight,3,3,1100,46.86,66.35,1,,industrial,summer,standard
SHP-00992,2024-03-31,Phoenix,Philadelphia,FastShip,5,5,1438,7.53,31.77,1,,perishables,spring,standard
SHP-00993,2024-01-29,Chicago,Dallas,MegaFreight,6,6,1678,33.02,125.98,1,,industrial,winter,standard
SHP-00994,2024-03-22,New_York,San_Antonio,FastShip,4,4,2073,26.17,80.79,1,,industrial,spring,standard
SHP-00995,2024-02-12,Los_Angeles,San_Antonio,QuickPost,1,1,2389,5.27,91.57,1,,clothing,winter,overnight
SHP-00996,2024-06-10,Los_Angeles,New_York,FastShip,1,1,879,5.52,48.37,1,,clothing,summer,overnight
SHP-00997,2024-01-11,New_York,Philadelphia,MegaFreight,2,3,1519,17.16,62.91,1,,perishables,winter,express
SHP-00998,2024-05-28,Chicago,Philadelphia,QuickPost,5,5,851,1.89,12.81,1,,clothing,spring,standard
SHP-00999,2024-02-22,New_York,Houston,QuickPost,1,1,1121,63.37,196.63,1,,furniture,winter,overnight
SHP-01000,2024-06-28,New_York,San_Antonio,MegaFreight,1,1,1318,21.11,114.54,1,,industrial,summer,overnight
SHP-01001,2024-06-22,Chicago,Los_Angeles,FastShip,4,5,702,9.72,42.64,1,,industrial,summer,standard
SHP-01002,2024-04-02,Chicago,Los_Angeles,FastShip,3,4,763,6.2,20.41,1,,electronics,spring,standard
SHP-01003,2024-01-07,Chicago,Philadelphia,FastShip,7,4,1919,2.45,19.15,0,capacity,clothing,winter,standard
SHP-01004,2024-03-01,New_York,Houston,FastShip,1,1,399,7.17,50.17,1,,clothing,spring,overnight
SHP-01005,2024-02-18,Los_Angeles,Philadelphia,QuickPost,3,4,433,4.03,16.56,1,,clothing,winter,standard
SHP-01006,2024-05-22,Chicago,San_Antonio,MegaFreight,5,5,591,9.0,23.71,1,,clothing,spring,standard
SHP-01007,2024-02-05,Houston,Philadelphia,LocalEx,3,3,846,5.31,52.76,1,,clothing,winter,express
SHP-01008,2024-03-14,Chicago,Chicago,MegaFreight,2,3,496,4.63,17.21,1,,clothing,spring,standard
SHP-01009,2024-03-19,Los_Angeles,New_York,LocalEx,4,3,765,16.31,33.91,0,customs,industrial,spring,standard
SHP-01010,2024-03-20,Houston,Chicago,LocalEx,3,3,625,4.69,17.17,1,,clothing,spring,standard
SHP-01011,2024-01-17,Houston,Los_Angeles,FastShip,1,2,1178,31.13,46.53,1,,perishables,winter,express
SHP-01012,2024-03-22,Dallas,Phoenix,QuickPost,3,3,396,4.06,19.29,1,,clothing,spring,express
SHP-01013,2024-01-22,Los_Angeles,Phoenix,LocalEx,2,2,734,25.45,49.81,1,,industrial,winter,express
